Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
54,55.0,Billy Hurley III,35.0,20.0,66.0,13.0,2.0,1.0,1770400.0,277.7,65.4,62.7,1.75,46.9,4.0,223.0,771.0,168.0
55,56.0,Chris Kirk,32.0,28.0,85.0,18.0,3.0,0.0,1762335.0,285.9,62.0,64.1,1.77,57.4,5.0,291.0,994.0,211.0
56,57.0,Billy Horschel,31.0,20.0,70.0,17.0,5.0,0.0,1744571.0,293.0,60.7,67.7,1.78,49.6,4.0,260.0,777.0,194.0
57,58.0,Zach Johnson,42.0,24.0,86.0,21.0,5.0,0.0,1718703.0,280.1,65.2,64.5,1.76,53.7,4.0,314.0,986.0,222.0
58,59.0,Sean O'Hair,35.0,27.0,89.0,18.0,2.0,0.0,1702713.0,302.2,58.8,67.2,1.75,62.4,5.0,344.0,989.0,240.0
59,60.0,Brian Stuard,35.0,20.0,66.0,13.0,1.0,1.0,1666014.0,277.7,71.1,63.3,1.79,54.4,1.0,224.0,765.0,182.0
60,61.0,Aaron Baddeley,37.0,28.0,89.0,18.0,5.0,1.0,1644915.0,291.7,55.4,63.1,1.75,61.1,9.0,323.0,1025.0,220.0
61,62.0,Vaughn Taylor,42.0,24.0,72.0,12.0,1.0,1.0,1640750.0,287.0,61.6,64.4,1.75,50.4,5.0,258.0,798.0,204.0
62,63.0,Luke Donald,40.0,23.0,81.0,17.0,2.0,0.0,1634515.0,282.9,56.7,64.6,1.79,56.2,2.0,259.0,984.0,194.0
63,64.0,Rafael Cabrera Bello,33.0,10.0,34.0,9.0,3.0,0.0,1609350.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,7.0,117.0,388.0,90.0
64,65.0,Kevin Streelman,39.0,26.0,82.0,15.0,2.0,0.0,1601177.0,289.1,64.4,69.2,1.78,40.3,7.0,290.0,927.0,221.0
65,66.0,Colt Knost,32.0,26.0,86.0,19.0,2.0,0.0,1594587.0,269.7,73.4,65.3,1.77,51.1,7.0,280.0,1025.0,205.0
66,67.0,Brendan Steele,35.0,25.0,84.0,18.0,1.0,0.0,1589266.0,302.2,60.3,68.7,1.79,56.0,9.0,296.0,961.0,221.0
67,68.0,Shane Lowry,31.0,17.0,54.0,12.0,2.0,0.0,1585436.0,298.7,61.9,64.5,1.79,47.2,5.0,179.0,595.0,179.0
68,69.0,Marc Leishman,34.0,25.0,86.0,20.0,2.0,0.0,1566824.0,295.0,60.6,65.3,1.77,55.3,6.0,302.0,1004.0,211.0
