Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
174,175.0,Will MacKenzie,43.0,26.0,80.0,14.0,1.0,0.0,416033.0,285.6,60.8,66.4,1.79,46.4,1.0,267.0,930.0,215.0
175,176.0,Brendon de Jonge,37.0,30.0,81.0,11.0,0.0,0.0,415583.0,287.5,59.2,65.6,1.78,52.7,4.0,267.0,946.0,215.0
176,177.0,Jeff Overton,34.0,25.0,66.0,10.0,1.0,0.0,410246.0,285.0,59.3,63.9,1.81,43.7,2.0,212.0,766.0,168.0
177,178.0,Kelly Kraft,29.0,20.0,59.0,10.0,1.0,0.0,403437.0,289.8,60.4,67.4,1.77,47.9,6.0,211.0,670.0,157.0
178,179.0,Geoff Ogilvy,40.0,22.0,59.0,8.0,1.0,0.0,397595.0,291.9,61.2,63.7,1.78,45.5,7.0,198.0,662.0,173.0
179,180.0,Bernd Wiesberger,32.0,11.0,30.0,6.0,0.0,0.0,390674.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,88.0,358.0,76.0
180,181.0,Scott Langley,29.0,22.0,63.0,10.0,0.0,0.0,380025.0,285.7,64.8,63.9,1.81,52.7,4.0,197.0,749.0,172.0
181,182.0,Andrew Landry,35.37433155080214,18.0,49.0,7.0,1.0,0.0,373980.0,294.7,65.6,64.6,1.79,44.4,4.0,159.0,582.0,119.0
182,183.0,Ian Poulter,42.0,13.0,45.0,9.0,1.0,0.0,370256.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,4.0,126.0,535.0,117.0
183,184.0,Bobby Wyatt,35.37433155080214,6.0,16.0,3.0,1.0,0.0,353348.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,61.0,177.0,44.0
184,185.0,Chris Wood,30.0,8.0,23.0,6.0,0.0,0.0,348340.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,4.0,65.0,254.0,61.0
185,186.0,Thomas Aiken,34.0,23.0,66.0,11.0,0.0,0.0,347686.0,290.5,72.4,70.2,1.83,44.1,6.0,217.0,768.0,184.0
186,187.0,Wes Roach,29.0,21.0,55.0,8.0,0.0,0.0,342098.0,294.7,61.0,63.2,1.76,43.7,5.0,196.0,606.0,159.0
187,188.0,Andrew Johnston,35.37433155080214,4.0,16.0,4.0,1.0,0.0,336762.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
188,189.0,Scott Pinckney,29.0,29.0,85.0,15.0,0.0,0.0,332533.0,296.8,63.1,69.0,1.8,39.8,10.0,303.0,944.0,243.0
189,190.0,Thongchai Jaidee,48.0,8.0,24.0,6.0,0.0,0.0,326950.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
190,191.0,Cameron Percy,43.0,15.0,45.0,9.0,0.0,0.0,313456.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,5.0,151.0,529.0,113.0
191,192.0,Mark Wilson,43.0,21.0,62.0,11.0,0.0,0.0,306866.0,274.7,66.2,65.0,1.81,55.0,3.0,187.0,739.0,169.0
192,193.0,D.A. Points,41.0,18.0,51.0,9.0,0.0,0.0,305250.0,282.3,59.5,65.4,1.79,43.0,3.0,185.0,561.0,155.0
193,194.0,Dawie van der Walt,35.0,25.0,70.0,11.0,0.0,0.0,301697.0,290.2,56.9,66.8,1.78,38.2,9.0,243.0,777.0,213.0
194,195.0,Tim Herron,48.0,14.0,41.0,7.0,0.0,0.0,297238.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,132.0,475.0,117.0
195,196.0,Henrik Norlander,31.0,21.0,67.0,13.0,0.0,0.0,290889.0,288.1,63.4,68.2,1.78,50.0,6.0,231.0,788.0,162.0
196,197.0,Justin Leonard,45.0,13.0,40.0,7.0,0.0,0.0,288428.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,120.0,470.0,114.0
197,198.0,J.J. Henry,43.0,24.0,66.0,11.0,0.0,0.0,280674.0,287.3,59.3,67.5,1.84,47.7,4.0,182.0,788.0,200.0
198,199.0,Brian Gay,46.0,13.0,34.0,4.0,1.0,0.0,280619.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
199,200.0,Angel Cabrera,48.0,22.0,63.0,12.0,0.0,0.0,277118.0,294.6,58.1,63.1,1.82,42.9,3.0,191.0,706.0,182.0
200,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
201,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
202,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
203,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
204,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
205,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
206,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
207,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
208,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
209,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
210,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
211,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
212,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
213,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
214,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
